id,listing_url,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
43820536,https://www.airbnb.com/rooms/43820536,2.0,2.0,$209.00,15,4.87,4.93,4.87
43843895,https://www.airbnb.com/rooms/43843895,,2.0,$261.00,41,4.56,4.73,4.46
43851052,https://www.airbnb.com/rooms/43851052,3.0,3.0,$2000.00,0,,,
43856586,https://www.airbnb.com/rooms/43856586,4.0,8.0,$205.00,55,4.76,4.71,4.67
43858970,https://www.airbnb.com/rooms/43858970,1.0,2.0,$227.00,145,5.0,4.99,4.93
43860065,https://www.airbnb.com/rooms/43860065,1.0,1.0,$45.00,16,4.75,4.94,4.69
43861515,https://www.airbnb.com/rooms/43861515,1.0,1.0,$112.00,66,4.89,4.95,4.88
43874129,https://www.airbnb.com/rooms/43874129,1.0,1.0,$75.00,34,4.76,4.79,4.76
43874171,https://www.airbnb.com/rooms/43874171,1.0,2.0,$94.00,24,4.46,4.83,4.54
43895805,https://www.airbnb.com/rooms/43895805,2.0,3.0,$407.00,0,,,
43897219,https://www.airbnb.com/rooms/43897219,1.0,1.0,$134.00,73,5.0,4.97,4.99
43907333,https://www.airbnb.com/rooms/43907333,5.0,6.0,$4500.00,23,5.0,5.0,4.96
43912689,https://www.airbnb.com/rooms/43912689,4.0,5.0,$668.00,39,4.97,4.97,4.95
43913939,https://www.airbnb.com/rooms/43913939,2.0,2.0,$260.00,15,5.0,5.0,4.87
43930267,https://www.airbnb.com/rooms/43930267,1.0,2.0,$334.00,2,5.0,5.0,5.0
43942643,https://www.airbnb.com/rooms/43942643,1.0,1.0,$90.00,10,4.8,4.9,4.7
43944899,https://www.airbnb.com/rooms/43944899,1.0,2.0,$249.00,12,5.0,5.0,4.92
43948038,https://www.airbnb.com/rooms/43948038,1.0,2.0,$65.00,31,4.97,5.0,4.97
43986233,https://www.airbnb.com/rooms/43986233,1.0,2.0,$129.00,21,4.57,4.67,4.52
43987007,https://www.airbnb.com/rooms/43987007,4.0,4.0,$1729.00,0,,,
